HOSTNAME,TIME,NET,MEM,CPU
mosix1.curs.pub.ro,1432702792,2854268,511856,0.00
host-10-9-3-167,1432702792,2832788,380108,0.14
host-10-9-3-168,1432702793,2383024,497304,0.00
mosix1.curs.pub.ro,1432703752,3050212,878408,0.09
host-10-9-3-167,1432703751,2832800,283456,0.23
host-10-9-3-168,1432703753,2383028,497188,0.00
mosix1.curs.pub.ro,1432703783,3050216,878556,0.05
host-10-9-3-167,1432703783,2832804,285844,0.28
host-10-9-3-168,1432703784,2383032,497312,0.00
mosix1.curs.pub.ro,1432703815,3050220,878564,0.03
host-10-9-3-167,1432703814,2832804,285936,0.17
host-10-9-3-168,1432703816,2383032,497328,0.00
mosix1.curs.pub.ro,1432703846,3050204,793464,0.02
host-10-9-3-167,1432703845,2832808,285944,0.18
host-10-9-3-168,1432703847,2383036,497436,0.00
mosix1.curs.pub.ro,1432703877,3050208,793316,0.01
host-10-9-3-167,1432703877,2832808,286068,0.10
host-10-9-3-168,1432703878,2383040,497304,0.00
mosix1.curs.pub.ro,1432703909,3050212,793340,0.01
host-10-9-3-167,1432703908,2832812,286076,0.06
host-10-9-3-168,1432703910,2383040,497296,0.00
mosix1.curs.pub.ro,1432703940,3050212,793448,0.08
host-10-9-3-167,1432703939,2832816,286060,0.04
host-10-9-3-168,1432703941,2383044,497428,0.00
mosix1.curs.pub.ro,1432703971,3050216,793192,0.05
host-10-9-3-167,1432703971,2832816,286208,0.02
host-10-9-3-168,1432703973,2383048,497436,0.07
mosix1.curs.pub.ro,1432704003,3050216,793440,0.03
host-10-9-3-167,1432704002,2832824,286432,0.01
host-10-9-3-168,1432704004,2383052,497552,0.04
mosix1.curs.pub.ro,1432704034,3050220,793688,0.02
host-10-9-3-167,1432704034,2832824,286556,0.01
host-10-9-3-168,1432704035,2383052,497544,0.03
mosix1.curs.pub.ro,1432704065,3050224,793548,0.01
host-10-9-3-167,1432704065,2832828,286540,0.00
host-10-9-3-168,1432704067,2383056,497560,0.02
mosix1.curs.pub.ro,1432704097,3050224,793696,0.01
host-10-9-3-167,1432704096,2832828,286432,0.00
host-10-9-3-168,1432704098,2383056,497552,0.07
mosix1.curs.pub.ro,1432704128,3050228,793804,0.00
host-10-9-3-167,1432704128,2832832,286456,0.00
host-10-9-3-168,1432704129,2383060,497676,0.04
mosix1.curs.pub.ro,1432704160,3050232,793680,0.00
host-10-9-3-167,1432704159,2832832,286804,0.00
host-10-9-3-168,1432704161,2383060,497676,0.03
mosix1.curs.pub.ro,1432704191,3050232,793804,0.00
host-10-9-3-167,1432704190,2832836,286804,0.00
