HOSTNAME,TIME,NET,MEM,CPU
mosix1.curs.pub.ro,1432688697,2845892,507368,0.46
host-10-9-3-167,1432688697,2824872,365428,0.17
host-10-9-3-168,1432688699,2374844,480580,0.20
mosix1.curs.pub.ro,1432688699,2845900,507416,0.42
host-10-9-3-167,1432688698,2824876,365800,0.17
host-10-9-3-168,1432688700,2374848,480580,0.18
mosix1.curs.pub.ro,1432688700,2845904,507252,0.42
host-10-9-3-167,1432688700,2824876,365676,0.16
host-10-9-3-168,1432688701,2374848,480704,0.18
mosix1.curs.pub.ro,1432688702,2845904,507640,0.42
host-10-9-3-167,1432688701,2824880,365676,0.16
host-10-9-3-168,1432688703,2374852,480696,0.18
mosix1.curs.pub.ro,1432688703,2845904,507624,0.47
host-10-9-3-167,1432688703,2824888,365800,0.16
host-10-9-3-168,1432688704,2374852,480696,0.18
mosix1.curs.pub.ro,1432688704,2845908,506748,0.47
host-10-9-3-167,1432688704,2824888,365296,0.16
host-10-9-3-168,1432688706,2374856,480820,0.17
mosix1.curs.pub.ro,1432688706,2845912,506888,0.47
host-10-9-3-167,1432688730,2824888,365388,0.10
host-10-9-3-168,1432688732,2374856,480696,0.11
mosix1.curs.pub.ro,1432688732,2845916,506732,0.31
host-10-9-3-167,1432688732,2824892,365940,0.10
host-10-9-3-168,1432688733,2374860,480712,0.11
mosix1.curs.pub.ro,1432688734,2845916,506988,0.28
host-10-9-3-167,1432688733,2824896,366164,0.10
host-10-9-3-168,1432688735,2374860,480952,0.34
mosix1.curs.pub.ro,1432688735,2845928,507004,0.28
host-10-9-3-167,1432688734,2824900,366048,0.49
host-10-9-3-168,1432688736,2374864,480820,0.34
mosix1.curs.pub.ro,1432688736,2845928,507012,0.28
host-10-9-3-167,1432688736,2824904,366056,0.49
host-10-9-3-168,1432688737,2374864,480828,0.34
mosix1.curs.pub.ro,1432688738,2845932,506988,0.28
host-10-9-3-167,1432688737,2824904,365536,0.49
host-10-9-3-168,1432688739,2374872,480944,0.34
mosix1.curs.pub.ro,1432688739,2845932,506484,0.34
host-10-9-3-167,1432688763,2824908,365528,0.32
host-10-9-3-168,1432688765,2374876,480828,0.27
mosix1.curs.pub.ro,1432688765,2845936,507360,0.22
host-10-9-3-167,1432688765,2824908,366056,0.30
host-10-9-3-168,1432688767,2374876,480820,0.27
mosix1.curs.pub.ro,1432688767,2845940,507500,0.22
host-10-9-3-167,1432688766,2824912,366172,0.30
host-10-9-3-168,1432688768,2374880,480944,0.27
mosix1.curs.pub.ro,1432688768,2845944,507384,0.21
host-10-9-3-167,1432688768,2824920,366048,0.30
host-10-9-3-168,1432688769,2374880,481192,0.27
